id,sentence,difficulty,cleaned_text
72,"Elle pendit son linge au dossier d'une chaise, elle demeura debout, tournant, examinant les meubles, frappée d'une telle stupeur, que ses larmes ne coulaient plus ; il lui restait un sou sur les quatre sous gardés pour le lavoir. Puis, entendant rire à la fenêtre Étienne et Claude, déjà consolés, elle s'approcha, prit leurs têtes sous ses bras, s'oublia un instant devant cette chaussée grise, où elle avait vu, le matin, s'éveiller le peuple ouvrier, le travail géant de Paris ; à cette heure, le pavé échauffé par les besognes du jour allumait une réverbération ardente au-dessus de la ville, derrière le mur de l'octroi ; c'était sur ce pavé, dans cet air de fournaise, qu'on la jetait toute seule avec les petits et elle enfila d'un regard les boulevards extérieurs, à droite, à gauche, s'arrêtant aux deux bouts, prise d'une épouvante sourde, comme si sa vie, désormais, allait tenir là, entre un abattoir et un hôpital.",C2,pendit linge dossier dune chaise demeura debout tournant examinant meubles frappe dune telle stupeur larmes coulaient plus restait sou quatre sous gards lavoir puis entendant rire fentre tienne claude dj consols sapprocha prit leurs ttes sous bras soublia instant devant cette chausse grise o vu matin sveiller peuple ouvrier travail gant paris cette heure pav chauff besognes jour allumait rverbration ardente audessus ville derrire mur loctroi ctait pav cet air fournaise quon jetait toute seule petits enfila dun regard boulevards extrieurs droite gauche sarrtant deux bouts prise dune pouvante sourde comme si vie dsormais allait tenir entre abattoir hpital
73,"Le sérum, qui a pâti de la comparaison avec ses concurrents Pfizer et Moderna, est désormais considéré comme aussi efficace pour prévenir le risque d'hospitalisation.",C1,srum a pti comparaison concurrents pfizer moderna dsormais considr comme aussi efficace prvenir risque dhospitalisation
74,"J'ai identifié trois peurs fondamentales du robot: la crainte instinctive du métal contre la chair, la crainte sociétale, presque désespérée du robot qui va voler le travail de l'homme, et, enfin, la crainte identitaire de voir le robot nous dépasser en capacités intellectuelles ou autres.",C2,jai identifi trois peurs fondamentales robot crainte instinctive mtal contre chair crainte socitale presque dsespre robot va voler travail lhomme enfin crainte identitaire voir robot dpasser capacits intellectuelles autres
75,Mais d'autres pourront préférer L'Assassin des échecs ou Les Annales du Kangourou (Editions du Kangourou) .,C2,dautres pourront prfrer lassassin checs annales kangourou editions kangourou
76,Vous ferez de la randonnée ?,B1,ferez randonne
77,il y a plus de 50 pays francophones !,A1,a plus pays francophones
78,Ils ont déjà l'obligation de les ramener chez eux.,B1,dj lobligation ramener chez
79,"Un autre : Oui, on leur a bien donné des noms",A2,autre oui a bien donn noms
80,Vous joindrez à votre formulaire les pièces justificatives et documents sous format numérique.,B2,joindrez formulaire pices justificatives documents sous format numrique
81,"Merci, bon voyage.",A1,merci bon voyage
82,"Ce geste, presque insensible, lui fit courir, de la tête aux pieds, un grand frisson sur la peau, et, se tournant vivement, il se jeta sur elle, cherchant la bouche avec ses lèvres et la chair nue avec ses mains.",C2,geste presque insensible fit courir tte pieds grand frisson peau tournant vivement jeta cherchant bouche lvres chair nue mains
83,Il clabaude aux esgourdes des blaireaux enfarinés et des tordus pasteurisés.,C2,clabaude esgourdes blaireaux enfarins tordus pasteuriss
84,"Avec sa nouvelle compagne de quatorze ans sa cadette, il dit ""vivre une renaissance"".",C1,nouvelle compagne quatorze ans cadette dit vivre renaissance
85,"Entre ceux qui ne jurent que par l'introduction de l'informatique dans l'enseignement obligatoire, et ceux qui ont peur que l'on veuille transformer le primaire en une grande école d'informatique, il existe pourtant des pistes pour initier les enseignants et favoriser un passage du périscolaire au scolaire, sans avoir à attendre une réforme du socle commun qui prendra des années.",C2,entre ceux jurent lintroduction linformatique lenseignement obligatoire ceux peur lon veuille transformer primaire grande cole dinformatique existe pourtant pistes initier enseignants favoriser passage priscolaire scolaire sans avoir attendre rforme socle commun prendra annes
86,"Parmi les acteurs du commerce équitable, il faut distinguer les organismes ""labellisateurs"", qui certifient des filières d'importation par produit, et les importateurs - grossistes, détaillants ou réseaux de boutiques, comme Artisans du monde -, qui ont leurs propres contacts avec les producteurs et s'autocontrôlent, faute de mieux.",C1,parmi acteurs commerce quitable faut distinguer organismes labellisateurs certifient filires dimportation produit importateurs grossistes dtaillants rseaux boutiques comme artisans monde leurs propres contacts producteurs sautocontrlent faute mieux
87,Elle peut donc ouvrir d'autres réflexions et finalement devenir très enrichissante.,B2,peut donc ouvrir dautres rflexions finalement devenir trs enrichissante
88,"Ce paysan pleurait et prétendait qu'on lui avait tout pris ; Fabrice lui donna un écu, et il trouva de l'avoine.",B2,paysan pleurait prtendait quon tout pris fabrice donna cu trouva lavoine
89,"La première limite est que les instruments de contingentement spatial pris en compte donnent une idée de la maîtrise ""potentielle"" de l'urbanisation, maîtrise dérivant des possibilités fournies par le cadre légal et stratégique dont chaque canton s'est doté.",C2,premire limite instruments contingentement spatial pris compte donnent ide matrise potentielle lurbanisation matrise drivant possibilits fournies cadre lgal stratgique dont chaque canton sest dot
90,Le petit chat a plu à mes parents,A2,petit chat a plu parents
91,Se prémunir contre l'altération des données et avoir la certitude qu'elles n'ont pas été modifiées lors de leur stockage ou de leur traitement contribue à la qualité des prises de décisions basées sur celles-ci.,C2,prmunir contre laltration donnes avoir certitude quelles nont modifies lors stockage traitement contribue qualit prises dcisions bases cellesci
92,"[.] Nous sommes des joueurs/joués3"".",B2,joueursjous
93,"Quand j'ai lu, j'ai découvert de nouvelles choses surprenantes sur les locataires qui occupaient l'appartement.",B1,quand jai lu jai dcouvert nouvelles choses surprenantes locataires occupaient lappartement
94,Vous avez dit la seule chose intelligente !,A2,dit seule chose intelligente
95,Mon ami ne répond pas au téléphone.,A1,ami rpond tlphone
96,Mon frère Patrice est plus jeune que moi,A2,frere patrice plus jeune
97,"Ils sont en vacances, il n'y a que nous sur cette partie de l'île.",B1,vacances ny a cette partie lle
98,"Quand il y a des nuages avec de la neige qui tombe, c'est qu'il va neiger et qu'il peut y avoir du brouillard, des risques de congélation, de la glace et que la température sera très basse",B1,quand a nuages neige tombe cest quil va neiger quil peut avoir brouillard risques conglation glace temprature trs basse
99,"Un escalier nous conduisit à une large coursive en hauteur qui faisait le tour du bâtiment, desservant une succession de bureaux.",C2,escalier conduisit large coursive hauteur faisait tour btiment desservant succession bureaux
100,"Que vous cherchiez une simple annonce ou un recruteur, vous êtes sûr de ne rater aucune offre d'emploi grâce à notre système d'alerte personnalisé.",B2,cherchiez simple annonce recruteur sr rater aucune offre demploi grce systme dalerte personnalis
101,"Ça nous a donc coûté de l'argent, s'énerve-t-elle.",B1,a a donc cot largent snervetelle
102,Vous vous appelez comment ?,A1,appelez comment
103,"Fabrice, à peine âgé de seize ans, représentait fort bien le chef de la maison.",B2,fabrice peine g seize ans reprsentait fort bien chef maison
104,"Oui, je suis à Paris depuis vingt jours à peine.",A1,oui paris depuis vingt jours peine
105,"L'apprentissage du code et plus largement d'une culture générale du numérique à l'école est une mesure réclamée depuis longtemps par l'Académie des Sciences, soutenue par des acteurs qui comptent dans le secteur numérique, comme la Cnil ou le Conseil national du numérique, et qui figure même dans une proposition de loi de la députée UMP Laure de la Raudière.",C2,lapprentissage code plus largement dune culture gnrale numrique lcole mesure rclame depuis longtemps lacadmie sciences soutenue acteurs comptent secteur numrique comme cnil conseil national numrique figure mme proposition loi dpute ump laure raudire
106,Pourquoi ne pas avoir donné la serviette alors que tu avais déjà les plans ?,B1,pourquoi avoir donn serviette alors dj plans
107,"Quand je rentre, je demande à mes parents si je peux t'appeler pour avoir de tes nouvelles.",A2,quand rentre demande parents si peux tappeler avoir nouvelles
108,"L'important, évidemment, pour les contribuables européens qui voudraient annuler leur dette, c'est que chacun des créditeurs, des créanciers soit traité de la même façon.",B2,limportant videmment contribuables europens voudraient annuler dette cest chacun crditeurs cranciers trait mme faon
109,"Même l'ambassadeur birman aux Nations unies, Kyaw Moe Tun, a rompu de manière spectaculaire avec les généraux putschistes la semaine dernière en appelant à ""mettre fin au coup d'Etat"".",C1,mme lambassadeur birman nations unies kyaw moe tun a rompu manire spectaculaire gnraux putschistes semaine dernire appelant mettre fin coup detat
110,Le directeur aurait donné de nouvelles consignes au personnel.,B2,directeur donn nouvelles consignes personnel
111,Vos regards m'observent.,C2,regards mobservent
112,De nombreux auteurs ont spéculé sur les différents aspects de la personnalité de Léonard.,C1,nombreux auteurs spcul diffrents aspects personnalit lonard
113,"Les conséquences sur la nature sont gravissimes, notamment sur les océans qui contiendraient selon la revue américaine Science plus de 110 millions de tonnes de déchets plastiques.",B2,consquences nature gravissimes notamment ocans contiendraient selon revue amricaine science plus millions tonnes dchets plastiques
114,"Si sept millions de citadins rêvent de refaire leur vie aux champs, tous ne passent pourtant pas à l'acte. ""Il y a toujours un événement déclencheur"", constate la directrice de Changer tout.",B2,si sept millions citadins rvent refaire vie champs tous passent pourtant lacte a toujours vnement dclencheur constate directrice changer tout
115,"Mon père, bien qu'il observât strictement les convenances extérieures, se permettait assez fréquemment des propos légers sur les liaisons d'amour : il les regardait comme des amusements, sinon permis, du moins excusables, et considérait le mariage seul sous un rapport sérieux.",C2,pre bien quil observt strictement convenances extrieures permettait assez frquemment propos lgers liaisons damour regardait comme amusements sinon permis moins excusables considrait mariage seul sous rapport srieux
116,Après tout que lui offre-t-elle à part de l'ennui et une grosse boule d'angoisse au creux du ventre ?,A2,aprs tout offretelle part lennui grosse boule dangoisse creux ventre
117,Leur pavillon mitoyen à Paris était pratiquement neuf quand ils l'avaient acheté.,B2,pavillon mitoyen paris tait pratiquement neuf quand lavaient achet
118,L'émigration galicienne sous-tend l'évolution du peuplement et l'explique en grande partie.,C1,lmigration galicienne soustend lvolution peuplement lexplique grande partie
119,Ces tanières se fondent dans la nature pour être quasiment invisibles.,C1,tanires fondent nature tre quasiment invisibles
120,Les hommes se croient libres alors qu'ils sont contraints ou déterminés par leur nature,C2,hommes croient libres alors quils contraints dtermins nature
121,Il fallait radicalement changer de cap en choisissant la cuisine de qualité accessible au plus grand nombre au lieu de quoi nous nous sommes repliés sur des valeurs sûres désormais désuètes et indigestes.,B2,fallait radicalement changer cap choisissant cuisine qualit accessible plus grand nombre lieu quoi replis valeurs sres dsormais dsutes indigestes
122,"Nos prophéties disent que tant qu'il y aura des bisons sauvages, nous survivrons.",C1,prophties disent tant quil bisons sauvages survivrons
123,"Je m'appelle Camille et quand j'étais enfant, j'avais des rêves plein la tête",A2,mappelle camille quand jetais enfant javais reves plein tete
124,"Réaffirmant que le Sénat ne s'était livré à aucun chantage contrairement aux allégations du rapporteur pour l'Assemblée nationale, il a, au contraire, affirmé que la position de la Haute Assemblée relevait d'une conception cohérente et constante de la société.",C1,raffirmant snat stait livr aucun chantage contrairement allgations rapporteur lassemble nationale a contraire affirm position haute assemble relevait dune conception cohrente constante socit
125,"Quelques coups de battoir partaient encore, espacés, au milieu des rires adoucis, des conversations qui s'empâtaient dans un bruit glouton de mâchoires ; tandis que la machine à vapeur, allant son train, sans repos ni trêve, semblait hausser la voix, vibrante, ronflante, emplissant l'immense salle. Mais pas une des femmes ne l'entendait ; c'était comme la respiration même du lavoir, une haleine ardente amassant sous les poutres du plafond l'éternelle buée qui flottait. La chaleur devenait intolérable ; des rais de soleil entraient à gauche, par les hautes fenêtres, allumant les vapeurs fumantes de nappes opalisées, d'un gris rose et d'un gris bleu très tendre ; et, comme des plaintes s'élevaient, le garçon Charles allait d'une fenêtre à l'autre, tirait des stores de grosse toile ; ensuite, il passa de l'autre côté, du côté de l'ombre, et ouvrit des vasistas.",C2,quelques coups battoir partaient encore espacs milieu rires adoucis conversations semptaient bruit glouton mchoires tandis machine vapeur allant train sans repos ni trve semblait hausser voix vibrante ronflante emplissant limmense salle femmes lentendait ctait comme respiration mme lavoir haleine ardente amassant sous poutres plafond lternelle bue flottait chaleur devenait intolrable rais soleil entraient gauche hautes fentres allumant vapeurs fumantes nappes opalises dun gris rose dun gris bleu trs tendre comme plaintes slevaient garon charles allait dune fentre lautre tirait stores grosse toile ensuite passa lautre ct ct lombre ouvrit vasistas
126,Que du bonheur !,A2,bonheur
127,On semble oublier que le personnel en milieu scolaire applique déjà cette mesure.,B2,semble oublier personnel milieu scolaire applique dj cette mesure
128,"Une association de promotion et de développement de l'apprentissage en ligne note que si la calculatrice a ""supplanté le calcul mental y compris pour des opérations basiques, et que l'utilisation d'un ordinateur relié à internet pourrait aisément remplacer une partie de notre mémoire, les opérations basiques ont ont été mémorisées en amont et c'est grâce à cette assimilation de connaissances basiques que l'apprenant peut utiliser la calculatrice"".",C1,association promotion dveloppement lapprentissage ligne note si calculatrice a supplant calcul mental compris oprations basiques lutilisation dun ordinateur reli internet pourrait aisment remplacer partie mmoire oprations basiques mmorises amont cest grce cette assimilation connaissances basiques lapprenant peut utiliser calculatrice
129,"Tous, sauf un petit oiseau.",A1,tous sauf petit oiseau
130,Sa santé s'est dégradée à cause d'une infection sévère et ses jours sont comptés.,B2,sant sest dgrade cause dune infection svre jours compts
131,La chose me vient d'être certifiée.,B1,chose vient dtre certifie
132,La nouvelle a fait grand bruit: cette affaire de couvre-feu cache en fait une angoisse plus profonde.,B1,nouvelle a fait grand bruit cette affaire couvrefeu cache fait angoisse plus profonde
133,J'ai le plaisir de vous annoncer que votre demande d'inscription à l'université de Strasbourg en première année de master Sciences et Société a été acceptée,B1,jai plaisir annoncer demande dinscription luniversit strasbourg premire anne master sciences socit a accepte
134,"Une large majorité de français est favorable à la modification du calcul de la retraite des fonctionnaires dans le cadre de la réforme en préparation, selon un sondage publié vendredi",C2,large majorit franais favorable modification calcul retraite fonctionnaires cadre rforme prparation selon sondage publi vendredi
135,"Aussi, les jeunes heureux réussissent à acheter leur autonomie et leur tranquillité par une réussite au lycée qui ne les dévore pas.",B2,aussi jeunes heureux russissent acheter autonomie tranquillit russite lyce dvore
136,"Une fois qu'il a tout fini, Théo peut enfin aller jouer et s'amuser avant de dîner avec ses parents.",A2,fois quil a tout fini theo peut enfin aller jouer samuser avant diner parents
137,"La cinquantaine est un bel âge: on gagne en profondeur et en bienveillance, constate Philippe Wattier.",C1,cinquantaine bel ge gagne profondeur bienveillance constate philippe wattier
138,Les quelques chiffres publiés à ce jour donnent une idée de la dégradation du climat entre les élèves des deux sexes.,C1,quelques chiffres publis jour donnent ide dgradation climat entre lves deux sexes
139,"Mais une différence apparaît en fin de cursus scolaire, les garçons prenant dans ce dernier domaine un avantage sur les filles.",B2,diffrence apparat fin cursus scolaire garons prenant dernier domaine avantage filles
140,"Le vert par exemple, est la couleur de l'herbe et des feuilles des arbres.",A1,vert exemple couleur lherbe feuilles arbres
141,Elle ne ressemble à aucune des filles que je connais.,A2,ressemble aucune filles connais
142,"Les masses liquides transportent les plus grandes espèces connues de mammifères, et peut-être recèlent-elles des mollusques d'une incomparable taille, des crustacés effrayants à contempler, tels que seraient des homards de cent mètres ou des crabes pesant deux cents tonnes !",B2,masses liquides transportent plus grandes espces connues mammifres peuttre reclentelles mollusques dune incomparable taille crustacs effrayants contempler tels homards cent mtres crabes pesant deux cents tonnes
143,"Force est de constater que l'écart se creuse entre les pays en développement qui, progressivement, sortent de la pénurie chronique, et ceux qui stagnent ou régressent dans leur combat contre la faim.",C1,force constater lcart creuse entre pays dveloppement progressivement sortent pnurie chronique ceux stagnent rgressent combat contre faim
144,"Une huitième édition dominée par le duel au sommet avec Alex Thomson, une course poursuite menée par Armel depuis le 23 novembre dernier, quarante-sept jours de haute tension qui se terminent aujourd'hui",C1,huitime dition domine duel sommet alex thomson course poursuite mene armel depuis novembre dernier quarantesept jours haute tension terminent aujourdhui
145,Pourquoi on ne peut pas entrer dans la chambre ?,A1,pourquoi peut entrer chambre
146,À très bientôt.,A2,trs bientt
147,"C'était cette comparaison, tacitement et inlassablement répétée dans une même toile, qui y introduisait cette puissante et multiforme unité, cause, parfois non clairement aperçue par eux, de l'enthousiasme qu'excitait chez certains amateurs la peinture d'Elstir.",C2,ctait cette comparaison tacitement inlassablement rpte mme toile introduisait cette puissante multiforme unit cause parfois non clairement aperue lenthousiasme quexcitait chez certains amateurs peinture delstir
148,Soyons sérieux,B2,srieux
149,Bienheureux le quidam que voilà débarrassé de cette peur originelle d'échouer et de faire faux,C2,bienheureux quidam voil dbarrass cette peur originelle dchouer faire faux
150,Je prends le train.,A1,prends train
151,"C'est dans sa lettre à Schuller, extraite de sa Correspondance, que Spinoza dénonce l'illusion du libre arbitre",C2,cest lettre schuller extraite correspondance spinoza dnonce lillusion libre arbitre
